Wall time,Step,Value
1524746209.0989492,0,4.051229953765869
1524746821.8983357,1,3.790045976638794
1524747438.6976495,2,3.735820770263672
1524748052.6983178,3,3.7031073570251465
1524748664.5209382,4,3.6617143154144287
1524749284.1626189,5,3.6157047748565674
1524749897.0380635,6,3.5642499923706055
1524750512.6075828,7,3.50451922416687
1524751129.5387802,8,3.4299216270446777
1524751757.8824582,9,3.366957187652588
1524752386.3125176,10,3.2898383140563965
1524753009.139095,11,3.219369411468506
1524753630.3725557,12,3.1521363258361816
1524754256.920242,13,3.0880444049835205
1524754876.363556,14,3.027055025100708
1524755496.6407921,15,2.9715001583099365
1524756124.3181636,16,2.9210970401763916
1524756749.6694582,17,2.8660049438476562
1524757369.9775498,18,2.818117380142212
1524758004.9383512,19,2.7677931785583496
1524758629.3727586,20,2.725217580795288
1524759250.5299118,21,2.6797919273376465
1524759875.6234727,22,2.635709762573242
1524760496.3955407,23,2.5994322299957275
1524761115.929597,24,2.5593152046203613
1524761742.6545753,25,2.518527030944824
1524762362.5400362,26,2.4845898151397705
1524762986.3951154,27,2.448301076889038
1524763610.9334219,28,2.4106807708740234
1524764242.0384676,29,2.3818142414093018
1524764867.0393393,30,2.3476436138153076
1524765493.1438382,31,2.317944288253784
1524766112.2715685,32,2.2776832580566406
1524766734.0444286,33,2.252262592315674
1524767363.5258737,34,2.2237119674682617
1524767984.125222,35,2.1926214694976807
1524768616.2564874,36,2.1673500537872314
1524769241.0052078,37,2.1454856395721436
1524769862.4798348,38,2.1232171058654785
1524770492.3543646,39,2.093217372894287
1524771114.8461335,40,2.0734448432922363
1524771733.1351833,41,2.0529043674468994
1524772359.838192,42,2.0215213298797607
1524772982.1705263,43,1.9946069717407227
1524773603.2676604,44,1.9805302619934082
1524774229.99046,45,1.9572405815124512
1524774851.1015284,46,1.9362990856170654
1524775469.994326,47,1.9121919870376587
1524776095.5055249,48,1.8969396352767944
1524776726.8040392,49,1.884922981262207
1524777351.0944362,50,1.861188530921936
1524777977.44805,51,1.8426668643951416
1524778597.9872248,52,1.8355369567871094
1524779215.624494,53,1.805955410003662
1524779841.8014233,54,1.7997969388961792
1524780463.5375464,55,1.7779643535614014
1524781084.1940656,56,1.764515995979309
1524781709.5292647,57,1.7519350051879883
1524782329.1241136,58,1.7472968101501465
1524782956.384716,59,1.7275805473327637
1524783585.0982966,60,1.7058451175689697
1524784208.7792017,61,1.695042371749878
1524784838.3479953,62,1.6882619857788086
1524785460.2403066,63,1.6724265813827515
1524786080.8139856,64,1.6605572700500488
1524786706.569975,65,1.6510688066482544
1524787325.8121083,66,1.6371935606002808
1524787945.3939693,67,1.631984829902649
1524788565.445166,68,1.6090447902679443
1524789195.606599,69,1.6073460578918457
1524789815.9442382,70,1.5958378314971924
1524790440.9163492,71,1.5882534980773926
1524791060.9180322,72,1.575340747833252
