Wall time,Step,Value
1524754256.8065805,0,2.731323480606079
1524754760.1307766,1,2.6418724060058594
1524755255.9817057,2,2.6340575218200684
1524755752.3629205,3,2.628061294555664
1524756253.090079,4,2.6239264011383057
1524756748.8649023,5,2.6191389560699463
1524757254.010924,6,2.614945650100708
1524757750.741192,7,2.6105639934539795
1524758244.8452399,8,2.6065101623535156
1524758749.3203497,9,2.6021206378936768
1524759250.8678794,10,2.597688913345337
1524759747.4536972,11,2.5949227809906006
1524760248.2321427,12,2.5923430919647217
1524760748.6225114,13,2.5899100303649902
1524761243.4730744,14,2.5875561237335205
1524761735.6251333,15,2.5857577323913574
1524762229.9884667,16,2.5834920406341553
1524762732.6464927,17,2.5814456939697266
1524763232.5258389,18,2.57957124710083
1524763732.4761198,19,2.5777149200439453
1524764235.0932252,20,2.5756542682647705
1524764739.1372852,21,2.5738525390625
1524765237.3702383,22,2.5726470947265625
1524765735.0534668,23,2.5706632137298584
1524766226.7694743,24,2.5694894790649414
1524766725.279157,25,2.5679850578308105
1524767222.9565322,26,2.5657479763031006
1524767716.3204296,27,2.564338207244873
1524768220.5875819,28,2.563267230987549
1524768720.4352715,29,2.561358690261841
1524769223.1008275,30,2.5603251457214355
1524769717.6382563,31,2.558032989501953
1524770217.5107014,32,2.5563368797302246
1524770713.2732587,33,2.5542564392089844
1524771216.0228877,34,2.552783966064453
1524771716.2504714,35,2.549875497817993
1524772212.4445417,36,2.548068046569824
1524772710.4930546,37,2.546055316925049
1524773203.2866893,38,2.542830228805542
1524773713.9583173,39,2.5399587154388428
1524774215.4815233,40,2.537977457046509
1524774720.6179187,41,2.5341203212738037
1524775213.2018297,42,2.5310657024383545
1524775714.1698544,43,2.5280916690826416
1524776206.2527652,44,2.5248537063598633
1524776709.643748,45,2.521810531616211
1524777206.6964133,46,2.5182642936706543
1524777701.3600261,47,2.5153353214263916
1524778199.375667,48,2.5125973224639893
1524778697.1745565,49,2.509965419769287
1524779198.1965678,50,2.5058388710021973
1524779698.2948468,51,2.5026934146881104
1524780204.6308303,52,2.4992222785949707
1524780699.950023,53,2.4953129291534424
1524781203.247249,54,2.4921576976776123
1524781696.8453166,55,2.488846778869629
1524782194.808115,56,2.485365629196167
1524782691.928756,57,2.481311559677124
1524783186.033622,58,2.4787631034851074
1524783685.6522975,59,2.475085496902466
1524784187.973472,60,2.4714059829711914
1524784687.110322,61,2.468130350112915
1524785186.1577375,62,2.4656734466552734
1524785689.2203922,63,2.462212085723877
1524786186.7071993,64,2.4588680267333984
1524786685.8872445,65,2.4552814960479736
1524787188.2554524,66,2.4525609016418457
1524787686.4226294,67,2.448312520980835
1524788185.0095835,68,2.4455907344818115
1524788679.061023,69,2.4425153732299805
1524789174.9360585,70,2.439197540283203
1524789669.9477627,71,2.43591046333313
