Wall time,Step,Value
1524793108.6202502,0,3.9346871376037598
1524793769.403538,1,3.7695705890655518
1524794426.0458615,2,3.7282211780548096
1524795083.6608424,3,3.6919667720794678
1524795741.7489061,4,3.651641368865967
1524796393.028717,5,3.603959083557129
1524797051.648833,6,3.544614791870117
1524797707.7721107,7,3.473989248275757
1524798360.5156562,8,3.3948183059692383
1524799028.0672054,9,3.3126275539398193
1524799680.0138838,10,3.2323946952819824
1524800331.9734576,11,3.156111001968384
1524800993.84651,12,3.08311128616333
1524801645.0510256,13,3.013094425201416
1524802301.788923,14,2.947324752807617
1524802951.7254002,15,2.884000539779663
1524803607.829401,16,2.821155309677124
1524804261.9229126,17,2.7609598636627197
1524804912.5328681,18,2.703216791152954
1524805576.3934517,19,2.644517183303833
1524806227.323001,20,2.5886898040771484
1524806887.803442,21,2.536102533340454
1524807544.000345,22,2.4835569858551025
1524808193.639702,23,2.432565689086914
1524808853.3604763,24,2.3824706077575684
1524809507.5807252,25,2.3338074684143066
1524810162.6048973,26,2.2850723266601562
1524810819.9842572,27,2.2391297817230225
1524811469.5992994,28,2.193784475326538
1524812129.1235728,29,2.1516830921173096
1524812781.906496,30,2.109272003173828
1524813433.1635387,31,2.0669238567352295
1524814086.060904,32,2.0265536308288574
1524814733.383809,33,1.987351894378662
1524815387.7318223,34,1.9469892978668213
1524816045.0247726,35,1.911331295967102
1524816697.1991842,36,1.8730645179748535
1524817359.6554,37,1.8421345949172974
1524818009.6642294,38,1.8083299398422241
1524818671.2491846,39,1.7737326622009277
1524819318.4968016,40,1.741552472114563
1524819970.8903308,41,1.7104145288467407
1524820620.6926668,42,1.6785022020339966
1524821274.2956412,43,1.652484655380249
1524821927.347808,44,1.620498538017273
1524822588.4959328,45,1.5949894189834595
1524823247.8603644,46,1.5703039169311523
1524823903.942021,47,1.5421817302703857
1524824557.8272243,48,1.5197744369506836
1524825224.3300748,49,1.4937890768051147
1524825888.3078022,50,1.4734445810317993
1524826541.072194,51,1.4527560472488403
1524827199.833935,52,1.4303150177001953
1524827860.4258935,53,1.4082090854644775
1524828522.0276465,54,1.3901569843292236
1524829178.1347096,55,1.3719035387039185
1524829834.619685,56,1.349051594734192
1524830488.4472861,57,1.3323218822479248
1524831149.2297187,58,1.3138172626495361
1524831811.231397,59,1.2983728647232056
1524832465.974349,60,1.2846155166625977
1524833001.2836003,61,1.2661625146865845
1524833486.2929952,62,1.2516332864761353
1524833967.91518,63,1.2389066219329834
1524834449.45196,64,1.2220348119735718
1524834931.4139216,65,1.207663655281067
1524835418.3218725,66,1.1945782899856567
1524835972.2609234,67,1.1837023496627808
1524836693.1332073,68,1.1713192462921143
1524837427.5304635,69,1.160742163658142
1524838145.68624,70,1.1463439464569092
1524838861.0233154,71,1.1342896223068237
1524839578.0497503,72,1.1203607320785522
1524840295.556396,73,1.1155691146850586
1524841019.1816576,74,1.098941445350647
1524841735.1399565,75,1.0932283401489258
1524842449.1686614,76,1.0817111730575562
1524843170.209417,77,1.0728023052215576
1524843888.4440808,78,1.0616239309310913
1524844611.8082752,79,1.0538451671600342
1524845332.022592,80,1.0463173389434814
1524846044.8105671,81,1.0365887880325317
1524846760.8520458,82,1.0274977684020996
1524847479.2082915,83,1.023580551147461
1524848194.3772905,84,1.0136147737503052
1524848912.178497,85,1.0018373727798462
1524849627.183707,86,0.9982365369796753
1524850346.8832438,87,0.9932170510292053
1524851068.2083187,88,0.9833592772483826
1524851791.3474302,89,0.9779418706893921
1524852512.314879,90,0.9725509285926819
1524853227.0978932,91,0.9590758681297302
1524853944.4052782,92,0.9537275433540344
1524854664.105262,93,0.9479815363883972
1524855382.6449811,94,0.9435637593269348
1524856097.570994,95,0.9356502890586853
1524856816.8355484,96,0.9316118955612183
1524857537.3463483,97,0.9280366897583008
1524858252.783573,98,0.9228567481040955
1524858971.951274,99,0.9135509729385376
1524859693.214589,100,0.9124132394790649
1524860410.9375668,101,0.9042832255363464
1524861129.0221243,102,0.9024872779846191
1524861846.6929595,103,0.8957222700119019
1524862563.2142105,104,0.8903610706329346
1524863291.4781268,105,0.8889116048812866
1524864001.70561,106,0.8844920992851257
1524864717.7390807,107,0.8782530426979065
1524865442.2712507,108,0.8751975893974304
1524866165.143223,109,0.8703452348709106
1524866886.6188529,110,0.8649779558181763
1524867605.262284,111,0.8559204339981079
1524868320.6668725,112,0.847896158695221
1524869040.6625216,113,0.8506965637207031
1524869758.9669585,114,0.8461925387382507
1524870474.998368,115,0.8455365300178528
1524871193.4255478,116,0.839451789855957
1524871908.261461,117,0.8390719294548035
1524872623.0343034,118,0.8357219696044922
1524873353.7394354,119,0.8263020515441895
1524874070.5883102,120,0.8269571661949158
1524874781.154982,121,0.8200660347938538
1524875506.43958,122,0.8210514187812805
1524876226.150023,123,0.8119447231292725
1524876845.096063,124,0.8128682971000671
1524877327.4086103,125,0.8062257170677185
1524877812.08789,126,0.8027300834655762
1524878294.0625384,127,0.8048170208930969
1524878776.0809975,128,0.8025298714637756
1524879262.391094,129,0.7983845472335815
1524879746.622427,130,0.7985547780990601
1524880228.1933186,131,0.7906184792518616
1524880710.0471432,132,0.7866184115409851
1524881194.1943114,133,0.7863388657569885
