Wall time,Step,Value
1524792347.3600247,0,2.751091718673706
1524792751.8982491,1,2.6428682804107666
1524793157.6830204,2,2.631976842880249
1524793559.954606,3,2.6271936893463135
1524793970.5116024,4,2.622446298599243
1524794371.98267,5,2.618441581726074
1524794775.6308022,6,2.6084866523742676
1524795180.9550908,7,2.596341848373413
1524795584.5442152,8,2.586698293685913
1524795994.2053359,9,2.5774123668670654
1524796399.9508042,10,2.5691118240356445
1524796803.9154944,11,2.5605647563934326
1524797209.0435798,12,2.550611734390259
1524797618.1426563,13,2.5414042472839355
1524798024.0423195,14,2.5301811695098877
1524798429.4842198,15,2.5169012546539307
1524798833.2842221,16,2.502971887588501
1524799247.3655796,17,2.488295078277588
1524799653.3855522,18,2.4738919734954834
1524800059.2099352,19,2.4579367637634277
1524800463.251373,20,2.4430181980133057
1524800869.5394707,21,2.4276115894317627
1524801279.9665294,22,2.4118287563323975
1524801687.3063133,23,2.397028923034668
1524802093.1680486,24,2.379709482192993
1524802497.0150287,25,2.3638861179351807
1524802907.6383026,26,2.348536491394043
1524803312.401625,27,2.331165075302124
1524803719.147832,28,2.3150744438171387
1524804126.3569298,29,2.296610116958618
1524804534.3193777,30,2.282658576965332
1524804949.156533,31,2.267988443374634
1524805352.179359,32,2.247760057449341
1524805758.32293,33,2.2330093383789062
1524806162.4128323,34,2.217644691467285
1524806575.4496682,35,2.201878309249878
1524806983.376687,36,2.1849610805511475
1524807388.5051003,37,2.1680500507354736
1524807795.9152715,38,2.1520721912384033
1524808210.231999,39,2.140227794647217
1524808617.9459834,40,2.123152017593384
1524809025.3737535,41,2.1099586486816406
1524809431.9411142,42,2.094000816345215
1524809837.028594,43,2.077596664428711
1524810249.6876044,44,2.0640718936920166
1524810654.005146,45,2.046814441680908
1524811060.6208389,46,2.0350167751312256
1524811468.849219,47,2.0187432765960693
1524811879.1521578,48,2.006006956100464
1524812290.0157225,49,1.9906264543533325
1524812701.0097678,50,1.9735567569732666
1524813107.3507187,51,1.9634075164794922
1524813511.9402835,52,1.9517335891723633
1524813923.112978,53,1.9386026859283447
1524814329.550186,54,1.9257183074951172
1524814736.2459204,55,1.9132580757141113
1524815140.2268374,56,1.9020916223526
1524815551.4474263,57,1.8902051448822021
1524815956.2125926,58,1.878286361694336
1524816363.451368,59,1.8676426410675049
1524816770.9758198,60,1.853484869003296
1524817173.9223962,61,1.8422119617462158
1524817586.9493852,62,1.8353919982910156
1524817992.8867774,63,1.8220351934432983
1524818398.178887,64,1.811478614807129
1524818802.8313212,65,1.7995129823684692
1524819211.2581992,66,1.796004295349121
1524819615.4654522,67,1.7824805974960327
1524820022.0945728,68,1.7756112813949585
1524820428.5460103,69,1.7645004987716675
1524820844.3367481,70,1.75079345703125
1524821250.1728928,71,1.7456297874450684
1524821655.649408,72,1.7355479001998901
1524822063.221466,73,1.72825026512146
1524822465.8427966,74,1.7203013896942139
1524822878.8682263,75,1.7107285261154175
1524823286.5850637,76,1.7016072273254395
1524823690.4889512,77,1.695360541343689
1524824096.0462918,78,1.688194751739502
1524824507.7950015,79,1.6821577548980713
1524824912.5121431,80,1.6698867082595825
1524825317.672929,81,1.6651201248168945
1524825723.894096,82,1.6582571268081665
1524826132.9418354,83,1.6498032808303833
1524826544.0481622,84,1.6415116786956787
1524826949.033303,85,1.6366019248962402
1524827354.5287044,86,1.633682370185852
1524827761.699434,87,1.6220386028289795
1524828173.2771223,88,1.6178795099258423
1524828582.4766862,89,1.6099241971969604
1524828987.600134,90,1.6009466648101807
1524829394.9024773,91,1.5939971208572388
1524829805.4143634,92,1.5922781229019165
1524830213.022716,93,1.5830957889556885
1524830620.2191842,94,1.5795845985412598
1524831022.9748287,95,1.5725356340408325
1524831428.8057504,96,1.5729843378067017
1524831841.0320935,97,1.5627751350402832
1524832243.9555738,98,1.557937741279602
1524832651.0615835,99,1.5583430528640747
