Wall time,Step,Value
1524754256.8065805,0,26.746450424194336
1524754760.1307766,1,26.685766220092773
1524755255.9817057,2,26.684152603149414
1524755752.3629205,3,26.682758331298828
1524756253.090079,4,26.653675079345703
1524756748.8649023,5,26.667980194091797
1524757254.010924,6,26.65421485900879
1524757750.741192,7,26.659067153930664
1524758244.8452399,8,26.64549446105957
1524758749.3203497,9,26.66264533996582
1524759250.8678794,10,26.621166229248047
1524759747.4536972,11,26.645544052124023
1524760248.2321427,12,26.64339828491211
1524760748.6225114,13,26.625247955322266
1524761243.4730744,14,26.6351375579834
1524761735.6251333,15,26.6341495513916
1524762229.9884667,16,26.62852668762207
1524762732.6464927,17,26.637107849121094
1524763232.5258389,18,26.619951248168945
1524763732.4761198,19,26.624967575073242
1524764235.0932252,20,26.62459373474121
1524764739.1372852,21,26.618099212646484
1524765237.3702383,22,26.606578826904297
1524765735.0534668,23,26.62110710144043
1524766226.7694743,24,26.622486114501953
1524766725.279157,25,26.6053466796875
1524767222.9565322,26,26.635412216186523
1524767716.3204296,27,26.623008728027344
1524768220.5875819,28,26.61837387084961
1524768720.4352715,29,26.615650177001953
1524769223.1008275,30,26.612138748168945
1524769717.6382563,31,26.60248374938965
1524770217.5107014,32,26.615510940551758
1524770713.2732587,33,26.609163284301758
1524771216.0228877,34,26.617605209350586
1524771716.2504714,35,26.61067771911621
1524772212.4445417,36,26.59434700012207
1524772710.4930546,37,26.614124298095703
1524773203.2866893,38,26.602806091308594
1524773713.9583173,39,26.570117950439453
1524774215.4815233,40,26.59224510192871
1524774720.6179187,41,26.565977096557617
1524775213.2018297,42,26.580596923828125
1524775714.1698544,43,26.582317352294922
1524776206.2527652,44,26.569379806518555
1524776709.643748,45,26.565568923950195
1524777206.6964133,46,26.56073570251465
1524777701.3600261,47,26.557796478271484
1524778199.375667,48,26.563753128051758
1524778697.1745565,49,26.56901741027832
1524779198.1965678,50,26.57817268371582
1524779698.2948468,51,26.553558349609375
1524780204.6308303,52,26.544734954833984
1524780699.950023,53,26.526371002197266
1524781203.247249,54,26.53449058532715
1524781696.8453166,55,26.54825782775879
1524782194.808115,56,26.514284133911133
1524782691.928756,57,26.514699935913086
1524783186.033622,58,26.52781867980957
1524783685.6522975,59,26.490703582763672
1524784187.973472,60,26.509401321411133
1524784687.110322,61,26.49704933166504
1524785186.15874,62,26.505483627319336
1524785689.2203922,63,26.49115753173828
1524786186.7071993,64,26.486509323120117
1524786685.8872445,65,26.483036041259766
1524787188.2554524,66,26.474449157714844
1524787686.4226294,67,26.46422576904297
1524788185.0095835,68,26.460262298583984
1524788679.061023,69,26.46148681640625
1524789174.9360585,70,26.45419692993164
1524789669.9477627,71,26.453998565673828
