Wall time,Step,Value
1524836147.1717455,0,26.71538734436035
1524836409.0264568,1,26.697839736938477
1524836678.3347657,2,26.689706802368164
1524836944.7928522,3,26.678152084350586
1524837219.8378816,4,26.670286178588867
1524837499.7414212,5,26.687551498413086
1524837766.8751576,6,26.670778274536133
1524838034.4312599,7,26.660367965698242
1524838303.7877698,8,26.651342391967773
1524838573.546929,9,26.63288116455078
1524838851.3119671,10,26.63996696472168
1524839118.1799192,11,26.626117706298828
1524839386.8959296,12,26.62760353088379
1524839667.8344173,13,26.621313095092773
1524839935.784539,14,26.600446701049805
1524840203.7152596,15,26.5924015045166
1524840476.2283034,16,26.595149993896484
1524840751.5060158,17,26.592952728271484
1524841032.0588686,18,26.562122344970703
1524841298.2478464,19,26.570344924926758
1524841572.3814676,20,26.5593318939209
1524841848.9985743,21,26.560415267944336
1524842120.971735,22,26.538536071777344
1524842392.1110597,23,26.54347801208496
1524842660.068065,24,26.559478759765625
1524842930.7073832,25,26.538711547851562
1524843211.9401047,26,26.533662796020508
1524843484.9574308,27,26.542037963867188
1524843755.4269466,28,26.520187377929688
1524844028.1322558,29,26.527698516845703
1524844296.2164593,30,26.50443458557129
1524844565.8035812,31,26.49472999572754
1524844834.3228788,32,26.50002098083496
1524845103.5011659,33,26.49410629272461
1524845389.2065353,34,26.494037628173828
1524845656.2696152,35,26.464189529418945
1524845928.623846,36,26.48284149169922
1524846200.0735927,37,26.446792602539062
1524846468.5947125,38,26.45824432373047
1524846739.910247,39,26.445093154907227
1524847011.945599,40,26.439870834350586
1524847283.0566907,41,26.42127227783203
1524847559.4196815,42,26.423433303833008
1524847825.211679,43,26.4110107421875
1524848090.0805433,44,26.410459518432617
1524848359.6041327,45,26.4027099609375
1524848627.5530903,46,26.407466888427734
1524848904.4476337,47,26.381410598754883
1524849173.7853737,48,26.3843994140625
1524849449.4864542,49,26.36827850341797
1524849728.097292,50,26.354511260986328
1524849994.7924402,51,26.337648391723633
1524850260.4259543,52,26.343074798583984
